Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Numbat GmbH,"Numbat is a clean-tech company from Kempten (Allgäu). The competence lies in the development and production, as well as the operation of High Power charging solutions with integrated battery storage system. The goal is to establish Europe's densest High Power charging infrastructure to support e-mobility and its challenges. The battery storage reduces electricity costs and eases the burden on grids, while the integrated fast charging station allows customers/visitors/employees to fully charge their electric vehicles within 15 minutes. Depending on the location, the Numbats can be provided free of charge in a platform model. With its patented climate protection technology and multi-lifecycle approach, the Numbat is the most sustainable solutions on the market.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Public Company,"Kempten, Bavaria, Germany",Germany,numbat.energy,https://www.linkedin.com/company/numbat-energy
BayWa Mobility Solutions GmbH,"Wir bieten Unternehmen maßgeschneiderte Angebote und einen Rundumservice mit Fokus auf das Thema Elektromobilität. Kurz gesagt: Mit uns sind Sie perfekt auf die neue Mobilität eingestellt. Unsere Dienstleistungen konzentrieren sich auf die folgenden drei Geschäftsfelder: 

Flottenberatung: Das Team unserer Flottenberatung betreut mittelständische Flottenkunden mit kleinen bis mittleren Flotten (E-Pkw, E-Lkw, E-Busse), Vermietgesellschaften und OEMs von E-Nutzfahrzeugen/E-Bussen sowie größere, professionell verwaltete Wohneigentümergemeinschaften. Für diese erstellen wir mobilitätsgetriebene Energielösungen – vom Netzbezug über Photovoltaik und Speicher bis hin zum Aufbau einer betriebsablaufoptimierten Ladeinfrastruktur inklusive technischer Machbarkeitsprüfung, Szenariosimulation und Wirtschaftlichkeitsanalyse. 

Digital Mobility: Ob Strom, Benzin, Diesel oder LNG – mit dem BayWa Kartenportfolio wird das Tanken und Laden Ihres Fahrzeugs unterwegs ganz einfach. In Deutschland können Sie die BayWa Ladekarte an über 95 Prozent der öffentlichen Ladeinfrastruktur nutzen. Die BayWa Tankkarte ist an 3.500 Stationen und an 50 Prozent aller LNG-Tankstellen in Deutschland sowie an 120 Stationen in Österreich einsetzbar. Mit der BayWa Tankkarte Hybrid können Sie die Vorteile beider Karten nutzen. Außerdem bieten wir Ihnen die Möglichkeit, alle Tank- und Ladevorgänge in einem System abzurechnen, egal ob Sie in der Betriebsstätte, zuhause oder öffentlich tanken oder laden. 

Planning & Construction: Wir bieten einen Full-Service beim Aufbau von Ladeinfrastruktur – von der Entwicklung einer Idee beziehungsweise eines Konzepts gemeinsam mit dem Kunden über die Projektierung des Standortes und die Installation der Ladeinfrastruktur bis hin zur Inbetriebnahme, Wartung und Instandhaltung. Zu den Zielgruppen gehören Stadtwerke/Kommunen, Energieversorger, Betreiber von Ladeinfrastruktur, Industriekunden sowie Tankstellen und Mineralölkonzerne.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Public Company,"Munich, Bavaria, Germany",Germany,baywa-mobility.de,https://www.linkedin.com/company/baywa-mobility-solutions
WEHRLE,"Industry wastewater and Leachate treatment
Equipment rental and operation 
Industrie Abwasser und Sickerwasser behandlung
Mietanlage und Betrieb",Renewable Energy Semiconductor Manufacturing,201-500 employees,Privately Held,"Emmendingen, Baden-Württemberg, Germany",Germany,ovive.fr,https://www.linkedin.com/company/wehrle-werk
JF4S – Joint Forces for Solar,"Joint Forces For Solar is a leading international networking platform that brings together the most important stakeholders in the solar business. 

The network is made up of solar stakeholders ranging from multinational corporations to industry associations and local installation companies. Dedicated to the development of the solar industry, our mission is to expand the use of all solar technologies at the global and local level and establish a vibrant renewable and clean energy industry.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Public Company,"Bonn, North Rhine-Westphalia, Germany",Germany,jointforces4solar.com,https://www.linkedin.com/company/joint-forces-for-solar
UXO Offshore Services,"UXO Offshore Services provides services for the Clearance of UXO contaminated waters in an offshore and inshore  environment. 

Focus on Renewable energy and environment, but also on the oil and gas industry.

Diving safety is imminent. That is our starting point in quality and quantity for our contractors.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Self Owned,"Hannover, Lower Saxony, Germany",Germany,uxoos.com,https://www.linkedin.com/company/uxo-offshore-services
Wind Multiplikator GmbH - Powered by Semco Maritime,"Semco Maritime is a Full-Service-Provider for offshore wind projects. By integrating offshore substation expertise, turbine services, and main component exchange within one setup, we move beyond the limitations of single-scope providers.

At the same time, our engineering heritage and offshore execution capability differentiate us from players who primarily operate at a strategic or asset-management level.

For customers, this translates into clear and tangible benefits: fewer interfaces,
reduced coordination complexity, lower risk, and a much higher level of predictability in offshore execution and performance.

By combining this expertise with Semco Maritime’s experience in Balance of Plants (BoP), we have strengthened our ability to provide reliable full-service solutions for offshore wind farms. In the wind energy market, our collaboration offers operational optimization, risk mitigation, and unmatched service quality for our customers.",Renewable Energy Semiconductor Manufacturing,201-500 employees,Public Company,"Emden, Lower Saxony, Germany",Germany,semcomaritime.com,https://www.linkedin.com/company/wind-multiplikator-gmbh
Landesverband Erneuerbare Energien Niedersachsen | Bremen e.V.,"Der LEE Niedersachsen/Bremen ist der Branchenverband der  Erzeuger Erneuerbarer Energien in Niedersachsen und Bremen. Wir bündeln die Interessen und Fachkompetenz unserer Mitglieder, fördern ihre Vernetzung und vertreten sie gegenüber Politik, Verwaltung und Öffentlichkeit. 

100 % Erneuerbare Energie

Unser Ziel ist die Versorgung zu 100 Prozent aus Erneuerbaren Energien. Deshalb werben wir für den Ausbau dieser Technologien und informieren über ihre Potenziale. Wir vernetzen Produzenten und Verbraucher und moderieren Prozesse, die den Ausbau fördern. 


Information und Akzeptanz

Es gibt in Deutschland kein vergleichbar großes gesellschaftliches Projekt das über einen ähnlich langen Zeitraum mit vergleichbar großer Zustimmung von der Bevölkerung getragen wurde wie der Ausbau der Erneuerbaren Energien. Wo er auf Vorbehalte und Widerstand trifft – ob politisch oder bei der Umsetzung vor Ort – bemühen wir uns um Information, moderieren und helfen bei der Suche nach sinnvollen Lösungen. Der LEE möchte die Erneuerbaren Energien nicht gegen die Menschen voran bringen, sondern mit ihnen.

Impressum: https://www.lee-nds-hb.de/impressum/
Datenschutz: https://www.lee-nds-hb.de/datenschutz/",Renewable Energy Semiconductor Manufacturing,2-10 employees,Non Profit,"Hannover, Lower Saxony, Germany",Germany,lee-nds-hb.de,https://www.linkedin.com/company/lee-niedersachsen-bremen
wind-turbine.com,"Interested parties worldwide are looking for new and used wind turbines, products from the supplier segment, services, project partners and investors. 
 wind-turbine.com is the wind industry's online marketplace for used and new wind turbines, innovative products, comprehensive services and internationally active investors. 
Interested parties all over the world are looking for new and used wind turbines, products from the supplier segment, services, project partners and investors. 
 wind-turbine.com is the wind industry's online marketplace for used and new wind turbines, innovative products, comprehensive services and internationally active investors. 
 We bring together supply and demand with the aim of accelerating wind energy projects globally. 
We want to inspire people for wind energy and to develop markets. After all, regional energy supply around the world offers opportunities that we want to use together.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Self Owned,"Gelnhausen, Hesse, Germany",Germany,wind-turbine.com,https://www.linkedin.com/company/wind-turbine-com
Energiekonzepte Deutschland GmbH,"Mit über 45.000 installierten Anlagen und einem umfassenden Netzwerk aus Fachkräften sorgen wir jedes Jahr für circa 70 Millionen € Stromersparnis bei unseren Kundinnen und Kunden. Damit setzen wir neue Maßstäbe am Energiemarkt. Dank der Vernetzung aller Komponenten, wie Solaranlage, Stromspeicher, Wallbox und einem intelligenten Energiemanagementsystem bieten wir maßgeschneiderte Lösungen, die sowohl die Energieerzeugung als auch die Optimierung des Stromverbrauchs so effizient und einfach wie nie gestaltet. Mit dem Ganzjahresenergiekonzept EKD 365+ erhalten unsere Kundinnen und Kunden mehr Energie, Autarkie und Sicherheit.

Zum kostenlosen Beratungsgespräch 
https://www.ekd-solar.de/anfrage",Renewable Energy Semiconductor Manufacturing,201-500 employees,Privately Held,"Leipzig, Saxony, Germany",Germany,ekd-solar.de,https://www.linkedin.com/company/energiekonzepte-deutschland
GLOBE Fuel Cell Systems,"We develop and manufacture market-ready, digitally connected energy systems for industrial applications such as intralogistics. Our technology is trusted by leading companies and proven in Europe’s most demanding logistics operations delivering higher productivity, fast refueling, and long-term stable operating costs. With zero local emissions, we are driving the transition toward a efficient industry and a sustainable future.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Public Company,"Stuttgart, Baden-Württemberg, Germany",Germany,globefuelcell.com,https://www.linkedin.com/company/globe-fuel-cell-systems
