Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Companhia Portuguesa Rádio Marconi,,Telecommunications,,,"Copenhagen, Capital Region, Denmark",Denmark,telecom.pt,https://www.linkedin.com/company/companhia-portuguesa-rádio-marconi
Babykald ApS,"Babykald ApS designer og producerer kommunikations- og sikerhedsløsninger til børneinstitutioner. Vores hovedprodukt; Babyalarmsystem DC2013 er baseret på 30 års erfaring indenfor professionel lydovervågning. Babyalarmsystemet er beregnet til institutioner, men kan også benyttes i andre industrier, som ønsker lydovervågning i dansk solid kvalitet.",Telecommunications,2-10 employees,Public Company,"Humlebæk, Capital Region, Denmark",Denmark,babykald.dk,https://www.linkedin.com/company/babykald-aps
C,"CS Media er en telemarketingsekspert etableret i oktober 2017 af Christian Schertiger (CEO). Vores mission er at genskabe den gode kultur i telemarketing med henblik pa at give kunden den bedste oplevelse. 

Vi tilbyder skrddersyede lsninger til vores samarbejdspartnere. Vi har fokus pa at skabe et lngerevarende og sundt samarbejde med vores partnere og en strk relation mellem vores partnere og deres kunder.

Det der adskiller os fra at vre et almindeligt call-center er vores vrdier. De er ikke vores rettesnor, men nedskrevet pa baggrund af, hvad vi eksistere for at opna. Vores tre vigtigste vrdier bygger pa vores medarbejdere, vores arbejdsplads og os som samarbejdspartner:

- En sund medarbejderkultur  Vores medarbejdere er drivkraften i vores forretning. Derfor vgter vi medarbejdernes vilkar, karriere og trivsel hjt. Det har givet os motiverede, dygtige og tilfredse medarbejdere.
- En passioneret arbejdsplads  Vi har en ledelse, der brnder for at skabe en sund kultur indenfor telemarketing. Det kan mrkes pa den enkelte medarbejder, der brnder for at yde sit bedste og bidrage til det sociale fllesskab.
- En transparent organisation  I samarbejdet med vores kunder, er fokus at skabe en strk relation, hvor man kan vre i dialog og tage hensyn. Vi er derfor abensindet og lytter til vores partneres behov.
Vores motto er: Vi skal vre en del af Jer, og I skal vre en del af os.",Telecommunications,11-50 employees,,"Hvidovre, Capital Region, Denmark",Denmark,,https://www.linkedin.com/company/cs-media-dk
TeamLotus A/S,Supporting people who want to save money on thier phone bills and supporting people who want to earn extra money,Telecommunications,2-10 employees,Privately Held,Denmark,Denmark,acnrep.com,https://www.linkedin.com/company/teamlotus-a-s
Firmaprofil Danmark IVS,"Først og fremmest er vi et dansk mediebureau med flair for online markedsføring. Vi er et stærkt team af freelance konsulenter og IT-specialister, med mange års erfaring fra den online del af det danske erhvervsliv.
 
Vores kernekompetencer ligger inde for Markedsføring, Profilering, Telemarketing, Mødebooking, PR, Online sikkerhed samt Sociale Medier. 

Leder du efter en sparringspartner, er du havnet det rigtige sted!",Telecommunications,2-10 employees,Partnership,"Odense, South Denmark, Denmark",Denmark,firmaprofildanmark.dk,https://www.linkedin.com/company/firmaprofil-danmark
Sweetsale,Virksomhed med B2b løsninger for erhvervsdrivende der gerne vil forkæle deres ansatte med en lille gave. til hver en lejlighed,Telecommunications,2-10 employees,Partnership,"Galten, Middle Jutland, Denmark",Denmark,sweetsale.dk,https://www.linkedin.com/company/sweetsale
inphone.dk,Webshop for phones.,Telecommunications,2-10 employees,Self Employed,Denmark,Denmark,inphone.dk,https://www.linkedin.com/company/inphone-dk
Pulse HVT ApS,"Pulse HVT ApS is a telecommunications company based out of 45 Fuglevangsvej, Horsens, Central Denmark Region, Denmark.",Telecommunications,2-10 employees,,"Horsens, Middle Jutland, Denmark",Denmark,,https://www.linkedin.com/company/pulse-hvt-aps
Scandinavian Sales Management,"SSM er en salgsvirksomhed som primært beskæftiger sig med salgsopgaver fra telekommunikation. 

Udover dette tager vi ud til andre virksomheder og tilbyder salgskurser.",Telecommunications,11-50 employees,Self Employed,"Hvidovre, Capital Region, Denmark",Denmark,ssmanagement.dk,https://www.linkedin.com/company/scandinavian-sales-management
BRANDI /v Alexander Brandi,"Consulting services and development of customized IT systems with focus on performance and security. Furthermore in charge of communication with customers.
Work on a daily basis with technologies such as NodeJS, Ruby, PHP, Android and Arduino.",Telecommunications,Self-employed,Public Company,"Copenhagen, Capital Region, Denmark",Denmark,abrandi.dk,https://www.linkedin.com/company/brandi-v-alexander-brandi
